email_address,created_ts,handle_suspicious,email_valid,zipcode,region_id,graph_object_status,graph_object_modified_ts,graph_object_created_by,graph_object_modified_by
gclever0@usda.gov,2023-07-29 15:25:29,true,false,,IR-13,status 1,2023-07-17 10:42:42,Adam Clayton,2023-11-21 15:58:08
fsawer1@toplist.cz,2023-08-04 02:45:14,false,false,91980,RU-YAN,status 1,2023-11-17 16:13:21,Adam Clayton,2024-02-25 04:46:01
gmccane2@gnu.org,2023-08-09 22:53:09,true,true,4785-266,US-AK,status 4,2023-10-10 22:29:09,Madona,2023-07-26 16:47:10
jtwamley3@illinois.edu,2023-03-21 01:52:42,false,true,92878,MG-F,status 3,2024-02-18 23:10:32,Madona,2023-10-22 02:07:24
bbursnall4@tinypic.com,2023-09-17 00:12:01,false,true,,MG-M,status 3,2023-06-17 15:17:09,Cindy Laupert,2023-07-04 17:00:03
cmessier5@psu.edu,2024-02-28 23:27:32,false,true,,IR-06,status 5,2023-06-07 16:17:38,Kate Bush,2023-10-15 06:56:28
agoodbarne6@canalblog.com,2024-02-13 02:50:40,true,false,4575-062,GB-SCT,status 5,2023-07-13 05:28:16,Cindy Laupert,2024-01-05 01:45:24
stacon7@fotki.com,2023-04-26 06:43:01,false,false,714 31,CN-31,status 2,2023-12-23 10:15:59,Madona,2023-11-23 11:26:06
bbarbrick8@ucsd.edu,2024-03-19 21:01:51,false,true,215807,MG-D,status 3,2023-07-17 05:38:26,Roger Water,2024-01-05 11:10:26
trobun9@goo.ne.jp,2024-02-29 05:17:24,false,true,,US-NM,status 2,2023-04-01 09:09:23,Roger Water,2024-02-14 16:16:26
hdooleya@qq.com,2023-07-14 02:35:37,false,true,5425-055,BF-SEN,status 5,2023-05-26 09:19:15,Kate Bush,2023-05-09 09:33:05
etedmanb@arizona.edu,2024-02-09 15:15:30,false,true,0247,FR-H,status 2,2024-01-27 19:26:03,Kate Bush,2023-11-25 04:25:35
rwilloughwayc@biglobe.ne.jp,2023-11-13 22:14:31,false,false,19000-000,CL-LR,status 5,2023-06-05 04:56:36,Madona,2024-01-31 21:59:17
wkinsellad@bing.com,2024-01-21 11:12:22,true,true,,NA-ON,status 5,2024-01-31 18:57:04,Madona,2023-09-25 05:00:27
mtheyere@opera.com,2023-12-26 19:53:58,false,false,,CN-15,status 3,2023-05-29 09:10:04,Adam Clayton,2023-05-04 14:14:03
jhorneyf@instagram.com,2023-10-24 15:08:44,false,false,,US-KS,status 3,2023-06-02 00:34:24,Madona,2023-07-13 20:03:24
gprestwichg@craigslist.org,2023-10-21 11:21:22,false,false,,US-AK,status 1,2024-01-27 18:23:30,Roger Water,2024-02-23 03:26:52
dprozesckyh@wikipedia.org,2023-04-19 04:35:33,true,true,,US-TX,status 5,2023-09-11 11:19:07,Madona,2023-03-23 14:24:48
mburnupi@answers.com,2023-12-29 06:26:50,true,false,,CO-HUI,status 5,2023-08-14 06:18:13,Cindy Laupert,2024-02-09 02:52:08
hbeavanj@goo.ne.jp,2023-09-27 17:26:03,true,true,,ZA-WC,status 1,2023-06-15 14:48:51,Madona,2023-09-21 06:08:09
ebretherickk@cocolog-nifty.com,2023-10-15 12:22:20,true,true,,US-HI,status 4,2024-03-16 06:18:38,Kate Bush,2023-10-21 08:10:37
mgeanyl@smh.com.au,2023-06-27 19:03:49,false,true,,JP-47,status 5,2024-02-17 02:21:16,Roger Water,2024-01-28 08:50:37
sbondem@indiegogo.com,2023-08-28 23:50:16,true,false,2718,US-CA,status 3,2023-12-14 04:19:54,Roger Water,2023-03-22 06:15:30
jmanwelln@yahoo.co.jp,2023-09-24 01:43:14,true,true,86600-000,PH-ROM,status 1,2023-03-21 01:57:52,Madona,2023-09-24 10:58:13
sdanieliso@tamu.edu,2023-09-08 12:40:22,true,false,427011,KI-G,status 2,2023-05-24 06:59:10,Kate Bush,2024-01-13 21:05:56
jkinnairdp@census.gov,2023-09-01 23:21:48,false,false,,DE-BW,status 5,2023-03-28 00:11:57,Kate Bush,2024-01-15 00:42:55
dgamageq@goo.ne.jp,2023-08-01 06:00:48,false,true,,BR-TO,status 4,2023-04-05 22:26:56,Kate Bush,2023-10-31 01:28:37
slantaphr@narod.ru,2024-03-11 02:13:08,true,true,2405,JP-13,status 1,2023-11-10 01:43:33,Kate Bush,2023-08-14 20:13:49
boxburys@bloglovin.com,2023-11-14 04:48:51,false,false,,AU-SA,status 4,2024-01-06 20:53:22,Kate Bush,2023-08-20 15:11:12
cstannist@paypal.com,2023-11-05 07:05:17,true,false,756 05,US-MN,status 2,2023-05-19 12:26:02,Kate Bush,2024-01-19 11:57:15
