~id,~label,~from,~to,weight:Double
,invited_email,ME-465364,sbondem@indiegogo.com,0
,invited_email,ME-627893,jmanwelln@yahoo.co.jp,0
,invited_email,ME-465364,rwilloughwayc@biglobe.ne.jp,0
,invited_email,ME-627893,bbarbrick8@ucsd.edu,0
,invited_email,ME-627893,jtwamley3@illinois.edu,0
,invited_email,ME-627893,mgeanyl@smh.com.au,0
,invited_email,ME-627893,boxburys@bloglovin.com,0
,invited_email,ME-477057,gmccane2@gnu.org,0
,invited_email,ME-627893,dprozesckyh@wikipedia.org,0
,invited_email,ME-627893,stacon7@fotki.com,0
,invited_email,ME-465364,dprozesckyh@wikipedia.org,0
,invited_email,ME-477057,gclever0@usda.gov,0
,invited_email,ME-465364,mgeanyl@smh.com.au,0
,invited_email,ME-627893,agoodbarne6@canalblog.com,0
,invited_email,ME-465364,hbeavanj@goo.ne.jp,0
,invited_email,ME-627893,etedmanb@arizona.edu,0
,invited_email,ME-465364,gprestwichg@craigslist.org,0
,invited_email,ME-465364,trobun9@goo.ne.jp,0
,invited_email,ME-627893,slantaphr@narod.ru,0
,invited_email,ME-627893,fsawer1@toplist.cz,0
,invited_email,ME-627893,mburnupi@answers.com,0
,invited_email,ME-627893,jkinnairdp@census.gov,0
,invited_email,ME-627893,cstannist@paypal.com,0
,invited_email,ME-465364,ebretherickk@cocolog-nifty.com,0
,invited_email,ME-465364,dgamageq@goo.ne.jp,0
,invited_email,ME-627893,jhorneyf@instagram.com,0
,invited_email,ME-627893,cmessier5@psu.edu,0
,invited_email,ME-627893,gprestwichg@craigslist.org,0
,invited_email,ME-627893,hdooleya@qq.com,0
,invited_email,ME-465364,slantaphr@narod.ru,0
,invited_email,ME-627893,gclever0@usda.gov,0
,invited_email,ME-465364,cstannist@paypal.com,0
,invited_email,ME-465364,gclever0@usda.gov,0
,invited_email,ME-627893,ebretherickk@cocolog-nifty.com,0
,invited_email,ME-465364,fsawer1@toplist.cz,0
,invited_email,ME-465364,stacon7@fotki.com,0
,invited_email,ME-465364,cmessier5@psu.edu,0
,invited_email,ME-627893,wkinsellad@bing.com,0
,invited_email,ME-627893,sbondem@indiegogo.com,0
,invited_email,ME-477057,fsawer1@toplist.cz,0
,invited_email,ME-465364,agoodbarne6@canalblog.com,0
,invited_email,ME-627893,rwilloughwayc@biglobe.ne.jp,0
,invited_email,ME-627893,hbeavanj@goo.ne.jp,0
,invited_email,ME-627893,trobun9@goo.ne.jp,0
,invited_email,ME-627893,bbursnall4@tinypic.com,0
,invited_email,ME-477057,jtwamley3@illinois.edu,0
,invited_email,ME-465364,jhorneyf@instagram.com,0
,invited_email,ME-627893,sdanieliso@tamu.edu,0
,invited_email,ME-465364,boxburys@bloglovin.com,0
,invited_email,ME-465364,gmccane2@gnu.org,0
,invited_email,ME-465364,bbarbrick8@ucsd.edu,0
,invited_email,ME-627893,mtheyere@opera.com,0
,invited_email,ME-465364,mtheyere@opera.com,0
,invited_email,ME-465364,jmanwelln@yahoo.co.jp,0
,invited_email,ME-465364,mburnupi@answers.com,0
,invited_email,ME-627893,dgamageq@goo.ne.jp,0
,invited_email,ME-465364,jkinnairdp@census.gov,0
,invited_email,ME-465364,jtwamley3@illinois.edu,0
,invited_email,ME-465364,sdanieliso@tamu.edu,0
,invited_email,ME-465364,hdooleya@qq.com,0
,invited_email,ME-477057,bbursnall4@tinypic.com,0
,invited_email,ME-627893,gmccane2@gnu.org,0
,invited_email,ME-465364,bbursnall4@tinypic.com,0
,invited_email,ME-465364,wkinsellad@bing.com,0
,invited_email,ME-465364,etedmanb@arizona.edu,0
,referred_by,ME-465364,ME-351584,0.1
,referred_by,ME-465364,ME-428959,0.1
,referred_by,ME-627893,ME-526967,0.1
,referred_by,ME-627893,ME-799370,0.1
,referred_by,ME-477057,ME-572168,0.1
,referred_by,ME-477057,ME-585636,0.1
,referred_by,ME-465364,ME-787744,0.1
,referred_by,ME-477057,ME-597565,0.1
,referred_by,ME-627893,ME-498888,0.1
,referred_by,ME-477057,ME-529032,0.1
,referred_by,ME-627893,ME-358233,0.1
,referred_by,ME-498888,ME-518945,0.1
,referred_by,ME-627893,ME-498888,0.1
,referred_by,ME-465364,ME-627893,0.1
,referred_by,ME-477057,ME-465364,0.1
,referred_by,ME-627893,ME-477057,0.1
,referred_by,ME-526967,ME-518945,0.1
,referred_by,ME-199470,ME-518945,0.1
,referred_by,ME-763327,ME-518945,0.1
,referred_by,ME-627893,ME-518945,0.1
,referred_by,ME-627893,ME-076805,0.1
,referred_by,ME-627893,ME-199470,0.1
,referred_by,ME-465364,ME-763327,0.1
,referred_by,ME-627893,ME-428959,0.1
,referred_by,ME-627893,ME-857572,0.1
,referred_by,ME-465364,ME-392493,0.1
,referred_by,ME-465364,ME-585636,0.1
,referred_by,ME-477057,ME-627893,0.1
,referred_by,ME-627893,ME-597565,0.1
,referred_by,ME-465364,ME-150676,0.1
,referred_by,ME-477057,ME-498888,0.1
,referred_by,ME-465364,ME-153951,0.1
,referred_by,ME-465364,ME-627893,0.1
,referred_by,ME-465364,ME-603335,0.1
,referred_by,ME-465364,ME-799370,0.1
,referred_by,ME-627893,ME-153951,0.1
,referred_by,ME-465364,ME-960128,0.1
,referred_by,ME-627893,ME-572168,0.1
,referred_by,ME-477057,ME-428959,0.1
,referred_by,ME-627893,ME-351584,0.1
,referred_by,ME-627893,ME-484103,0.1
,referred_by,ME-627893,ME-397432,0.1
,referred_by,ME-627893,ME-763327,0.1
,referred_by,ME-465364,ME-094592,0.1
,referred_by,ME-477057,ME-465364,0.1
,referred_by,ME-465364,ME-548238,0.1
,referred_by,ME-465364,ME-553187,0.1
,referred_by,ME-627893,ME-477057,0.1
,referred_by,ME-465364,ME-397432,0.1
,referred_by,ME-627893,ME-392493,0.1
,referred_by,ME-627893,ME-553187,0.1
,referred_by,ME-627893,ME-603335,0.1
,referred_by,ME-627893,ME-150676,0.1
,referred_by,ME-477057,ME-526967,0.1
,referred_by,ME-465364,ME-358233,0.1
,referred_by,ME-627893,ME-787744,0.1
,referred_by,ME-465364,ME-857572,0.1
,referred_by,ME-465364,ME-484103,0.1
,referred_by,ME-627893,ME-960128,0.1
,referred_by,ME-477057,ME-358233,0.1
,referred_by,ME-627893,ME-529032,0.1
,referred_by,ME-627893,ME-548238,0.1
,referred_by,ME-627893,ME-518945,0.1
,referred_by,ME-465364,ME-477057,0.1
,referred_by,ME-477057,ME-518945,0.1
,referred_by,ME-465364,ME-076805,0.1
,referred_by,ME-477057,ME-397432,0.1
,referred_by,ME-465364,ME-572168,0.1
,referred_by,ME-627893,ME-094592,0.1
,referred_by,ME-465364,ME-110431,0.1
,referred_by,ME-627893,ME-465364,0.1
,referred_by,ME-465364,ME-597565,0.1
,referred_by,ME-627893,ME-110431,0.1
,referred_by,ME-465364,ME-529032,0.1
,used_browser_agent,ME-627893,BRWSR-866130,0
,used_browser_agent,ME-518945,BRWSR-539734,0
,used_browser_agent,ME-150676,BRWSR-111458,0
,used_browser_agent,ME-597565,BRWSR-774337,0
,used_browser_agent,ME-585636,BRWSR-756837,0
,used_browser_agent,ME-358233,BRWSR-257535,0
,used_browser_agent,ME-529032,BRWSR-554579,0
