"~label","~id","member_status:String","first_name:String","last_name:String","signup_date:String","over3_fraud_score:String","account_modified_ts:String","created_ts:String","ip_likely_country:String","ip_likely_city:String","browser_family:String","address1:String","address2:String","city:String","state:String","zipcode:String","country:String","avs_state:String","handle_suspicious:String","email_valid:String","device_type:String","region_id:String","graph_object_status:String","graph_object_modified_ts:String","graph_object_created_by:String","graph_object_modified_by:String"
BrowserAgent,BRWSR-483956,"","","","","","","2024-02-04 08:15:53","","","","","","","","","","","","","",CN-33,status 4,"2024-01-04 21:47:46",Roger Water,"2023-10-16 10:16:57"
BrowserAgent,BRWSR-998360,"","","","","","","2023-07-09 08:48:27","","",ie,"","","","","","","","","","",DZ-03,status 2,"2023-05-17 12:09:49",Madona,"2023-04-11 08:59:21"
BrowserAgent,BRWSR-324806,"","","","","","","2023-11-03 13:18:31","","","","","","","","","","","","","",CA-QC,status 4,"2024-01-24 18:17:56",Cindy Laupert,"2023-08-02 10:37:21"
BrowserAgent,BRWSR-500044,"","","","","","","2024-01-19 10:48:55","","",firefox,"","","","","","","","","","",AU-NSW,status 4,"2023-10-28 19:18:33",Cindy Laupert,"2024-01-04 17:42:31"
BrowserAgent,BRWSR-539734,"","","","","","","2024-01-10 20:18:45","","",ie,"","","","","","","","","","",RU-PRI,status 3,"2023-12-07 09:34:06",Cindy Laupert,"2024-01-06 07:01:11"
BrowserAgent,BRWSR-111458,"","","","","","","2023-07-02 11:32:17","","",chrome,"","","","","","","","","","",HN-GD,status 2,"2024-03-02 05:48:49",Cindy Laupert,"2023-10-11 06:30:53"
BrowserAgent,BRWSR-898103,"","","","","","","2023-08-06 03:22:21","","",ie,"","","","","","","","","","",US-HI,status 4,"2024-02-16 03:10:35",Cindy Laupert,"2023-08-02 03:15:33"
BrowserAgent,BRWSR-690076,"","","","","","","2023-05-13 22:44:09","","","","","","","","","","","","","",CG-13,status 5,"2023-09-27 21:35:57",Kate Bush,"2023-06-23 07:03:36"
BrowserAgent,BRWSR-965739,"","","","","","","2023-06-16 23:53:06","","",firefox,"","","","","","","","","","",MG-U,status 1,"2023-09-04 04:44:50",Kate Bush,"2023-09-08 18:32:31"
BrowserAgent,BRWSR-045250,"","","","","","","2023-07-07 21:13:38","","",firefox,"","","","","","","","","","",US-CO,status 1,"2023-11-23 04:05:51",Kate Bush,"2024-02-29 13:37:01"
BrowserAgent,BRWSR-203691,"","","","","","","2023-10-10 22:18:53","","",ie,"","","","","","","","","","",ZA-MP,status 4,"2023-06-10 02:49:06",Roger Water,"2023-08-26 13:31:31"
BrowserAgent,BRWSR-554579,"","","","","","","2023-07-13 05:56:09","","",firefox,"","","","","","","","","","",PH-WSA,status 4,"2023-11-13 18:19:15",Adam Clayton,"2023-11-16 23:46:04"
